,State,Region,iPhone Sales (in million units),iPad Sales (in million units),Mac Sales (in million units),Wearables (in million units),Services Revenue (in billion $)
0,Chongqing,Greater China,7.46,6.75,1.19,5.88,15.88
1,Germany,Europe,8.63,14.06,7.03,7.42,10.12
2,UK,Europe,5.61,14.09,8.78,8.19,19.85
3,Shanghai,Greater China,7.82,7.97,9.78,2.28,6.16
4,Thailand,Rest of Asia,16.7,8.13,6.46,3.48,13.29
5,Chongqing,Greater China,12.18,10.97,9.38,11.65,12.7
6,UK,Europe,25.47,7.41,7.18,7.56,17.2
7,New York,North America,22.37,6.74,4.39,3.22,16.07
8,Mexico,Rest of World,20.8,6.79,4.99,2.68,8.69
9,Italy,Europe,9.06,9.14,8.99,2.66,6.01
10,Hong Kong,Greater China,5.58,5.78,5.89,2.82,13.87
11,Canada,Rest of World,12.28,6.65,4.37,5.13,5.29
12,Hong Kong,Greater China,23.29,13.29,2.59,3.22,11.99
13,Japan,Rest of Asia,16.12,14.89,7.61,9.52,19.63
14,Japan,Rest of Asia,16.91,6.2,3.21,10.31,10.7
15,Spain,Europe,14.08,9.92,2.07,9.33,11.32
16,Chongqing,Greater China,7.92,8.77,5.19,3.08,16.14
17,Australia,Rest of World,8.1,13.87,7.77,10.79,6.9
18,Shanghai,Greater China,14.08,4.66,8.77,10.67,15.1
19,Australia,Rest of World,10.45,3.08,7.61,8.0,15.76
20,Beijing,Greater China,11.85,3.43,4.48,2.79,16.34
21,Hong Kong,Greater China,13.42,3.79,4.91,11.84,18.03
22,India,Rest of Asia,23.69,2.77,3.9,6.84,13.07
23,Texas,North America,24.11,4.93,1.48,10.42,16.93
24,California,North America,11.12,14.08,4.5,4.33,16.39
25,Spain,Europe,16.08,3.88,4.36,11.14,9.85
26,California,North America,23.96,10.33,8.94,3.09,13.39
27,Australia,Rest of World,16.36,14.36,2.98,7.38,13.66
28,Germany,Europe,10.31,10.27,8.84,5.13,5.29
29,Hong Kong,Greater China,10.97,4.94,2.82,9.96,6.63
30,South Africa,Rest of World,27.37,3.27,5.54,3.93,9.83
31,Canada,Rest of World,29.01,12.32,7.66,4.86,8.16
32,South Africa,Rest of World,16.2,9.09,6.42,11.85,13.95
33,Mexico,Rest of World,15.92,8.53,5.42,2.26,11.28
